Data,Location,High School Name,School Type,Others
9/17/17,"Akron, OH",University of Akron,College or University,Attack on other persons(s) resulting in injury or death
9/13/17,"Rockford, WA",Freeman High School,High School,Attack on other persons(s) resulting in injury or death
9/12/17,"St. Paul, MN",St. Catherine University,College or University,Gun fired unintentionally resulting in injury or death
9/8/17,"Columbus, OH",Columbus Scioto 6-12,K-12 School,Gun fired but no one injured
9/8/17,"North Little Rock, AR",North Little Rock High School,High School,Attack on other persons(s) resulting in injury or death
9/5/17,"Nashville, TN",Tennessee State University,College or University,Attack on other persons(s) resulting in injury or death
9/1/17,"College Station, TX",Texas A&M University,College or University,Attack on other persons(s) resulting in injury or death
8/17/17,"Lithia Springs, GA",Lithia Springs High School,High School,"Attempted or completed suicide, with no intent to injure other person"
7/23/17,"Fayetteville, AR",University of Arkansas,College or University,Attack on other persons(s) resulting in injury or death
7/21/17,"Spanish Fork, UT",Spanish Fork High School,High School,Attack on other persons(s) resulting in injury or death
7/19/17,"Milwaukee, WI",Hickman Academy Prepatory School,K-12 School,Attack on other persons(s) resulting in injury or death
7/13/17,"Las Vegas, NV","University of Nevada, Las Vegas",College or University,Gun fired but no one injured
6/22/17,"Florence, SC",Wilson High School,High School,Gun fired unintentionally resulting in injury or death
6/16/17,"Chicago, IL",Warren Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
6/5/17,"Fort Wayne, IN",Ravenscroft Beauty College,Community College,Attack on other persons(s) resulting in injury or death
5/24/17,"Greensboro, AL",Greensboro High School,High School,Gun fired but no one injured
5/23/17,"Kirbyville, TX",Kirbyville High School,High School,"Attempted or completed suicide, with no intent to injure other person"
5/15/17,"Moss Bluff, LA",Moss Bluff Elementary School,Elementary School,Gun fired unintentionally resulting in injury or death
5/2/17,"Irving, TX",North Lake College,Community College,Attack on other persons(s) resulting in injury or death
4/25/17,"Orem, UT",Utah Valley University,College or University,Gun fired but no one injured
4/15/17,"Tulsa, OK",Booker T. Washington High School,High School,Attack on other persons(s) resulting in injury or death
4/10/17,"San Bernardino, CA",North Park Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
4/7/17,"St. Paul, MN",University of St. Thomas,College or University,Gun fired unintentionally resulting in injury or death
3/31/17,"Pensacola, FL",University of West Florida,College or University,Gun fired but no one injured
3/15/17,"Gaffney, SC",Limestone College,College or University,Gun fired but no one injured
3/13/17,"Wilberforce, OH",Central State University,College or University,Attack on other persons(s) resulting in injury or death
2/6/17,"Scotlandville, LA",Scotlandville High School,High School,Gun fired but no one injured
1/27/17,"Aiken, SC",South Aiken High School,High School,Attack on other persons(s) resulting in injury or death
1/22/17,"Manhattan, KS",Kansas State University,College or University,Gun fired unintentionally resulting in injury or death
1/20/17,"West Liberty, OH",West Liberty-Salem High School,High School,Attack on other persons(s) resulting in injury or death
1/17/17,"Eastpoint, FL",Franklin County Elementary School,Elementary School,Gun fired but no one injured
1/10/17,"Alexander City, AL",Alexander City Middle School,Middle School,Gun fired but no one injured
1/5/17,"Lebanon, OH",Warren County Career Center,Community College,"Attempted or completed suicide, with no intent to injure other person"
12/29/16,"Salt Lake City, UT",University of Utah,College or University,Attack on other persons(s) resulting in injury or death
12/9/16,"St. Louis, MO",Bayless High School,High School,Attack on other persons(s) resulting in injury or death
12/1/16,"Bountiful, UT",Mueller Park Junior High School,Middle School,Gun fired but no one injured
11/17/16,"St. Paul, MN",Crossroads Elementary School,Elementary School,Gun fired but no one injured
11/11/16,"Auburn, MI",Bay City Western High School,High School,Gun fired unintentionally resulting in injury or death
11/3/16,"Berthoud, CO",Berthoud High School,High School,Attack on other persons(s) resulting in injury or death
11/2/16,"Grand Junction, CO",Grand Junction High School,High School,"Attempted or completed suicide, with no intent to injure other person"
10/23/16,"Huntsville, AL",Alabama A&M University,College or University,Gun fired but no one injured
10/23/16,"Caledonia, MI",Davenport University,College or University,Attack on other persons(s) resulting in injury or death
10/11/16,"Prichard, AL",Vigor High School,High School,Attack on other persons(s) resulting in injury or death
10/6/16,"Fort Worth, TX",Dunbar High School,High School,Attack on other persons(s) resulting in injury or death
9/28/16,"Townville, SC",Townville Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
9/15/16,"Stephenville, TX",Tarleton State University,College or University,Gun fired but no one injured
9/9/16,"Montgomery, AL",Auburn University at Montgomery,College or University,Attack on other persons(s) resulting in injury or death
9/9/16,"Cedar Rapids, IA",Cedar Rapids Jefferson High School,High School,"Attempted or completed suicide, with no intent to injure other person"
9/8/16,"Alpine, TX",Alpine High School,High School,Attack on other persons(s) resulting in injury or death
9/2/16,"Tulsa, OK",McLain High School,High School,Attack on other persons(s) resulting in injury or death
8/25/16,"Booneville, MS",Northeast Mississippi Community College,Community College,Attack on other persons(s) resulting in injury or death
7/25/16,"Ava, MO",Ava High School,High School,Attack on other persons(s) resulting in injury or death
7/7/16,"Dallas, TX",El Centro College,College or University,Attack on other persons(s) resulting in injury or death
6/10/16,"Vallejo, CA",Solano Community College,Community College,Gun fired unintentionally resulting in injury or death
6/7/16,"Columbia, MO",University of Missouri,College or University,Gun fired unintentionally resulting in injury or death
6/1/16,"Los Angeles, CA",University of California-Los Angeles,College or University,Attack on other persons(s) resulting in injury or death
5/15/16,"Augusta, KS",Augusta High School,High School,Gun fired unintentionally resulting in injury or death
5/13/16,"Greenville, SC",Southside High School,High School,Gun fired unintentionally resulting in injury or death
5/11/16,"Jamaica, NY",St. John's University,College or University,Gun fired but no one injured
5/6/16,"Panama City, FL",Oscar Patterson Elementary School,Elementary School,Gun fired unintentionally resulting in injury or death
5/6/16,"Columbia, MO",University of Missouri,College or University,Gun fired but no one injured
5/6/16,"Twin Falls, ID",Robert Stuart Middle School,Middle School,Gun fired but no one injured
5/5/16,"Beltsville, MD",High Point High School,High School,Attack on other persons(s) resulting in injury or death
5/2/16,"Dallas, TX",Kimball High School,High School,Gun fired unintentionally resulting in injury or death
4/29/16,"Charleston, WV",University of Charleston,College or University,Gun fired but no one injured
4/16/16,"Tuskegee, AL",Tuskegee University,College or University,Attack on other persons(s) resulting in injury or death
4/2/16,"Manhattan, KS",Kansas State University,College or University,"Attempted or completed suicide, with no intent to injure other person"
3/27/16,"Tacoma, WA",University of Puget Sound,College or University,Gun fired but no one injured
3/23/16,"Charlotte, NC",Johnson C. Smith University,College or University,Attack on other persons(s) resulting in injury or death
3/21/16,"Atlanta, GA",Georgia State University,College or University,Attack on other persons(s) resulting in injury or death
3/15/16,"Birmingham, AL",Huffman High School,High School,Attack on other persons(s) resulting in injury or death
2/29/16,"Middletown, OH",Madison High School,K-12 School,Attack on other persons(s) resulting in injury or death
2/26/16,"Palestine, TX",Palestine High School,High School,Attack on other persons(s) resulting in injury or death
2/17/16,"Homosassa, FL",Rock Crusher Elementary School,Elementary School,Gun fired but no one injured
2/12/16,"Glendale, AZ",Independence High School,High School,Attack on other persons(s) resulting in injury or death
2/9/16,"Muskegon Heights High School, MI",Muskegon Heights High School,High School,Attack on other persons(s) resulting in injury or death
1/29/16,"Philadelphia, PA",Benjamin Franklin High School,High School,Gun fired but no one injured
1/22/16,"Indianapolis, IN",Lawrence Central High School,High School,Attack on other persons(s) resulting in injury or death
1/20/16,"Indianapolis, IN",Northwest Community High School,High School,Gun fired but no one injured
1/13/16,"Camden, AR",Harmony Grove High School,High School,Gun fired unintentionally resulting in injury or death
1/12/16,"Dover, DE",Central Middle School,Middle School,Gun fired but no one injured
12/29/15,"Greeley, CO, CO",Aims Community College,College or University,"Attempted or completed suicide, with no intent to injure other person"
12/18/15,"Jackson, TN",Lane College,College or University,Gun fired but no one injured
11/29/15,"Columbus, OH",Ohio State University,College or University,"Attempted or completed suicide, with no intent to injure other person"
11/11/15,"Sulphur Rock, AR",Sulphur Rock Magnet School,Middle School,Gun fired unintentionally resulting in injury or death
11/10/15,"Lecanto, FL",Lecanto High School,High School,"Attempted or completed suicide, with no intent to injure other person"
11/5/15,"Moultrie, GA",Vereen School,Middle School,Gun fired but no one injured
11/1/15,"Winston-Salem, NC",Winston-Salem State University,College or University,Attack on other persons(s) resulting in injury or death
10/25/15,"Durham, NC",North Carolina Central University,College or University,Attack on other persons(s) resulting in injury or death
10/24/15,"San Antonio, TX",Ed White Middle School,Middle School,Attack on other persons(s) resulting in injury or death
10/22/15,"Nashville, TN",Tennessee State University,College or University,Attack on other persons(s) resulting in injury or death
10/15/15,"Langston, OK",Langston University,College or University,Gun fired but no one injured
10/15/15,"San Antonio, TX",Wagner High School,High School,Gun fired but no one injured
10/11/15,"Tampa, FL",University of South Florida,College or University,Gun fired but no one injured
10/9/15,"Flagstaff, AZ",Northern Arizona University - Flagstaff,College or University,Attack on other persons(s) resulting in injury or death
10/9/15,"Houston, TX",Texas Southern University,College or University,Attack on other persons(s) resulting in injury or death
10/6/15,"Houston, TX",Texas Southern University,College or University,Attack on other persons(s) resulting in injury or death
10/2/15,"University City, MO",University City High School,High School,Attack on other persons(s) resulting in injury or death
10/1/15,"Roseburg, OR",Umpqua Community College,College or University,Attack on other persons(s) resulting in injury or death
9/30/15,"Harrisburg, SD",Harrisburg High School,High School,Attack on other persons(s) resulting in injury or death
9/28/15,"Butte, MT",Montana Tech of the University of Montana,College or University,Gun fired but no one injured
9/22/15,"Statesville, NC",Central Elementary School,Elementary School,Attack on other persons(s) resulting in injury or death
9/14/15,"Cleveland, MS",Delta State University,College or University,Attack on other persons(s) resulting in injury or death
9/11/15,"Lafayette, LA",Northside High School,High School,Attack on other persons(s) resulting in injury or death
9/3/15,"Sacramento, CA",Sacramento City College,College or University,Attack on other persons(s) resulting in injury or death
8/27/15,"Savannah, GA",Savannah State University,College or University,Attack on other persons(s) resulting in injury or death
